Temperature,Date,site
30.1,2023-07-02,MacNorth
30.27,2023-07-03,MacNorth
30.45,2023-07-04,MacNorth
31.01,2023-07-05,MacNorth
30.95,2023-07-06,MacNorth
31.04,2023-07-07,MacNorth
30.93,2023-07-08,MacNorth
30.830000000000002,2023-07-09,MacNorth
30.87,2023-07-10,MacNorth
31.1,2023-07-11,MacNorth
31.23,2023-07-12,MacNorth
31.35,2023-07-13,MacNorth
31.400000000000002,2023-07-14,MacNorth
31.41,2023-07-15,MacNorth
31.42,2023-07-16,MacNorth
31.12,2023-07-17,MacNorth
31.150000000000002,2023-07-18,MacNorth
31,2023-07-19,MacNorth
31.05,2023-07-20,MacNorth
31.07,2023-07-21,MacNorth
31.09,2023-07-22,MacNorth
31.32,2023-07-23,MacNorth
31.34,2023-07-24,MacNorth
31.34,2023-07-25,MacNorth
31.1,2023-07-26,MacNorth
30.98,2023-07-27,MacNorth
30.740000000000002,2023-07-28,MacNorth
30.330000000000002,2023-07-29,MacNorth
30.330000000000002,2023-07-30,MacNorth
30.48,2023-07-31,MacNorth
30.740000000000002,2023-08-01,MacNorth
30.46,2023-08-02,MacNorth
30.77,2023-08-03,MacNorth
30.72,2023-08-04,MacNorth
30.85,2023-08-05,MacNorth
31.02,2023-08-06,MacNorth
31.18,2023-08-07,MacNorth
31.21,2023-08-08,MacNorth
31.38,2023-08-09,MacNorth
31.48,2023-08-10,MacNorth
31.43,2023-08-11,MacNorth
31.740000000000002,2023-08-12,MacNorth
31.52,2023-08-13,MacNorth
31.19,2023-08-14,MacNorth
31.150000000000002,2023-08-15,MacNorth
30.810000000000002,2023-08-16,MacNorth
30.73,2023-08-17,MacNorth
30.87,2023-08-18,MacNorth
30.63,2023-08-19,MacNorth
30.64,2023-08-20,MacNorth
30.63,2023-08-21,MacNorth
30.560000000000002,2023-08-22,MacNorth
30.64,2023-08-23,MacNorth
30.580000000000002,2023-08-24,MacNorth
30.64,2023-08-25,MacNorth
30.52,2023-08-26,MacNorth
30.67,2023-08-27,MacNorth
30.64,2023-08-28,MacNorth
30.78,2023-08-29,MacNorth
30.66,2023-08-30,MacNorth
30.400000000000002,2023-08-31,MacNorth
30.330000000000002,2023-09-01,MacNorth
30.41,2023-09-02,MacNorth
30.1,2023-09-03,MacNorth
29.86,2023-09-04,MacNorth
29.8,2023-09-05,MacNorth
29.61,2023-09-06,MacNorth
29.66,2023-09-07,MacNorth
29.59,2023-09-08,MacNorth
29.95,2023-09-09,MacNorth
30.11,2023-09-10,MacNorth
30.3,2023-09-11,MacNorth
30.32,2023-09-12,MacNorth
30.48,2023-09-13,MacNorth
30.47,2023-09-14,MacNorth
30.46,2023-09-15,MacNorth
30.490000000000002,2023-09-16,MacNorth
30.69,2023-09-17,MacNorth
30.57,2023-09-18,MacNorth
30.64,2023-09-19,MacNorth
30.45,2023-09-20,MacNorth
30.42,2023-09-21,MacNorth
30.28,2023-09-22,MacNorth
30.35,2023-09-23,MacNorth
30.310000000000002,2023-09-24,MacNorth
30.18,2023-09-25,MacNorth
29.82,2023-09-26,MacNorth
29.66,2023-09-27,MacNorth
29.91,2023-09-28,MacNorth
29.82,2023-09-29,MacNorth
29.96,2023-09-30,MacNorth
29.93,2023-10-01,MacNorth
29.77,2023-10-02,MacNorth
29.64,2023-10-03,MacNorth
29.52,2023-10-04,MacNorth
29.44,2023-10-05,MacNorth
29.400000000000002,2023-10-06,MacNorth
29.41,2023-10-07,MacNorth
29.52,2023-10-08,MacNorth
29.54,2023-10-09,MacNorth
29.47,2023-10-10,MacNorth
29.53,2023-10-11,MacNorth
29.52,2023-10-12,MacNorth
29.53,2023-10-13,MacNorth
29.51,2023-10-14,MacNorth
29.39,2023-10-15,MacNorth
29.12,2023-10-16,MacNorth
28.79,2023-10-17,MacNorth
28.53,2023-10-18,MacNorth
28.45,2023-10-19,MacNorth
28.2,2023-10-20,MacNorth
28.060000000000002,2023-10-21,MacNorth
27.76,2023-10-22,MacNorth
27.73,2023-10-23,MacNorth
27.990000000000002,2023-10-24,MacNorth
27.96,2023-10-25,MacNorth
28.01,2023-10-26,MacNorth
27.25,2023-10-27,MacNorth
27.3,2023-10-28,MacNorth
27.09,2023-10-29,MacNorth
26.93,2023-10-30,MacNorth
27.29,2023-10-31,MacNorth
27.44,2023-11-01,MacNorth
27.2,2023-11-02,MacNorth
27.32,2023-11-03,MacNorth
27.03,2023-11-04,MacNorth
27.400000000000002,2023-11-05,MacNorth
27.39,2023-11-06,MacNorth
27.240000000000002,2023-11-07,MacNorth
27.05,2023-11-08,MacNorth
27.19,2023-11-09,MacNorth
27.18,2023-11-10,MacNorth
27.55,2023-11-11,MacNorth
27.400000000000002,2023-11-12,MacNorth
27.45,2023-11-13,MacNorth
27.23,2023-11-14,MacNorth
27.1,2023-11-15,MacNorth
26.98,2023-11-16,MacNorth
26.09,2023-11-17,MacNorth
26.05,2023-11-18,MacNorth
26.060000000000002,2023-11-19,MacNorth
26.11,2023-11-20,MacNorth
26.2,2023-11-21,MacNorth
26.21,2023-11-22,MacNorth
26.080000000000002,2023-11-23,MacNorth
26.080000000000002,2023-11-24,MacNorth
26.23,2023-11-25,MacNorth
26.21,2023-11-26,MacNorth
26.38,2023-11-27,MacNorth
26.61,2023-11-28,MacNorth
26.400000000000002,2023-11-29,MacNorth
26.2,2023-11-30,MacNorth
26.3,2023-12-01,MacNorth
26.18,2023-12-02,MacNorth
26.25,2023-12-03,MacNorth
26.04,2023-12-04,MacNorth
26.05,2023-12-05,MacNorth
26.11,2023-12-06,MacNorth
25.82,2023-12-07,MacNorth
25.85,2023-12-08,MacNorth
25.72,2023-12-09,MacNorth
25.66,2023-12-10,MacNorth
25.66,2023-12-11,MacNorth
25.52,2023-12-12,MacNorth
25.28,2023-12-13,MacNorth
25.17,2023-12-14,MacNorth
25.34,2023-12-15,MacNorth
25.18,2023-12-16,MacNorth
25.53,2023-12-17,MacNorth
24.990000000000002,2023-12-18,MacNorth
24.68,2023-12-19,MacNorth
24.61,2023-12-20,MacNorth
24.59,2023-12-21,MacNorth
24.810000000000002,2023-12-22,MacNorth
24.580000000000002,2023-12-23,MacNorth
24.79,2023-12-24,MacNorth
24.88,2023-12-25,MacNorth
25.13,2023-12-26,MacNorth
24.43,2023-12-27,MacNorth
24.29,2023-12-28,MacNorth
24.38,2023-12-29,MacNorth
24.080000000000002,2023-12-30,MacNorth
23.900000000000002,2023-12-31,MacNorth
